Query Size,Average Time (ms),Highest Time (ms)
251,2152.872157096863,2930.0143718719482
246,2093.117904663086,2112.306833267212
83,2099.2526531219482,2112.504243850708
140,2110.161066055298,2125.2496242523193
82,2115.5606269836426,2127.286672592163
195,2161.6164445877075,2368.781805038452
400,2153.3891916275024,2173.964262008667
137,2157.6964378356934,2179.9888610839844
149,2174.33705329895,2203.7179470062256
299,2157.903003692627,2174.3550300598145
258,2219.663715362549,2410.968542098999
257,2179.644560813904,2208.0893516540527
323,2239.044165611267,2303.7993907928467
375,2232.7900409698486,2404.41632270813
302,2256.252598762512,2272.563695907593
